topic,key,schedule
Operating System Basics,OPERATING_SYSTEM_BASICS,Week 1 - Day 0
Processes and Threads,processes_and_threads,Week 1 - Day 1
Single Threaded Execution,single_threaded_execution,Week 1 - Day 2
Memory and Storage Systems,memory_and_storage_systems,Week 1 - Day 3
Linux Boot Process,linux_boot_process,Week 1 - Day 4
Virtualization,virtualization,Week 1 - Day 5
SSH,ssh,Week 1 - Day 6
Garbage Collection,garbage_collection,Week 2 - Day 0
Algorithms,algorithms,Week 2 - Day 1
Data Structures,data_structures,Week 2 - Day 2
Big O Notation,big_o_notation,Week 2 - Day 3
Network Protocols,network_protocols,Week 2 - Day 4
HTTP Protocols,http_protocols,Week 2 - Day 5
HTTPS,https,Week 2 - Day 6
DNS,dns,Week 3 - Day 0
DNS Lookup,dns_lookup,Week 3 - Day 1
OSI Model,osi_model,Week 3 - Day 2
HTTP Status Codes,http_status_codes,Week 3 - Day 3
Proxy vs Reverse Proxy,proxy_vs_reverse_proxy,Week 3 - Day 4
Web Authentication,web_authentication,Week 3 - Day 5
Secure Password Storage,secure_password_storage,Week 3 - Day 6
OAuth 2.0,oauth_2,Week 4 - Day 0
Single Sign-On (SSO),single_sign_on,Week 4 - Day 1
REST API,rest_api,Week 4 - Day 2
gRPC,grpc,Week 4 - Day 3
GraphQL,graphql,Week 4 - Day 4
API Protocols,api_protocols,Week 4 - Day 5
API Design,api_design,Week 4 - Day 6
API Pagination,api_pagination,Week 5 - Day 0
API Gateway,api_gateway,Week 5 - Day 1
Webhooks,webhooks,Week 5 - Day 2
API Performance Optimization,api_performance_optimization,Week 5 - Day 3
API Testing,api_testing,Week 5 - Day 4
API Architecture Styles,api_architecture_styles,Week 5 - Day 5
Git Version Control,git_version_control,Week 5 - Day 6
Version Control Systems,version_control_systems,Week 6 - Day 0
CI/CD,ci_cd,Week 6 - Day 1
Debugging,debugging,Week 6 - Day 2
Monorepos,monorepos,Week 6 - Day 3
Diagram as Code,diagram_as_code,Week 6 - Day 4
DevOps,devops,Week 6 - Day 5
SQL,sql,Week 6 - Day 6
SQL Query Optimization,sql_query_optimization,Week 7 - Day 0
Database Migration,database_migration,Week 7 - Day 1
Database Scalability,database_scalability,Week 7 - Day 2
LSM Tree,lsm_tree,Week 7 - Day 3
ACID Properties,acid_properties,Week 7 - Day 4
NoSQL Databases,NO_SQL_DATABASES,Week 7 - Day 5
Caching,caching,Week 7 - Day 6
Cache Systems,cache_systems,Week 8 - Day 0
Redis Use Cases,redis_use_cases,Week 8 - Day 1
Bloom Filters,bloom_filters,Week 8 - Day 2
Data Management Tradeoffs,data_management_tradeoffs,Week 8 - Day 3
Consistent Hashing,consistent_hashing,Week 8 - Day 4
Docker Containers,docker_containers,Week 8 - Day 5
Kubernetes Architecture,kubernetes_architecture,Week 8 - Day 6
Cloud Native,cloud_native,Week 9 - Day 0
Microservices,microservices,Week 9 - Day 1
Monolithic Architecture,monolithic_architecture,Week 9 - Day 2
Software Architecture Patterns,software_architecture_patterns,Week 9 - Day 3
System Design Education,system_design_education,Week 9 - Day 4
Deployment Strategies,deployment_strategies,Week 9 - Day 5
Scaling,scaling,Week 9 - Day 6
Scalability,scalability,Week 10 - Day 0
Load Balancing,load_balancing,Week 10 - Day 1
Capacity Planning,capacity_planning,Week 10 - Day 2
Concurrency,concurrency,Week 10 - Day 3
Fault Tolerance,FAULT_TOLERANCE,Week 10 - Day 4
Replication Strategies,REPLICATION_STRATEGIES,Week 10 - Day 5
Sharding Strategies,SHARDING_STRATEGIES,Week 10 - Day 6
Content Delivery Networks,content_delivery_networks,Week 11 - Day 0
Serverless Computing,serverless_computing,Week 11 - Day 1
Real-Time Data Processing,real_time_data_processing,Week 11 - Day 2
Distributed Streaming,distributed_streaming,Week 11 - Day 3
Distributed Systems,distributed_systems,Week 11 - Day 4
Distributed System Patterns,distributed_system_patterns,Week 11 - Day 5
CAP Theorem,cap_theorem,Week 11 - Day 6
Internet Architecture,internet_architecture,Week 12 - Day 0
System Design Interviews,system_design_interviews,Week 12 - Day 1
Location-Based Services,location_based_services,Week 12 - Day 2
Scan to Pay,scan_to_pay,Week 12 - Day 3
Payment Tokenization,payment_tokenization,Week 12 - Day 4
Apache Kafka,apache_kafka,Week 12 - Day 5
Data Pipelines,data_pipelines,Week 12 - Day 6
Event-Driven Architecture,EVENT_DRIVEN_ARCHITECTURE,Week 13 - Day 0
Large Language Models,large_language_models,Week 13 - Day 1
Open Source AI Stack,open_source_ai_stack,Week 13 - Day 2
Generative AI,generative_ai,Week 13 - Day 3
AI Agents,ai_agents,Week 13 - Day 4
ChatGPT Integration,chatgpt_integration,Week 13 - Day 5
Model Context Protocol (MCP),model_context_protocol_(mcp),Week 13 - Day 6
Netflix API Architecture,netflix_api_architecture,Week 14 - Day 0
AWS Architecture,aws_architecture,Week 14 - Day 1
Web Application Architecture,web_application_architecture,Week 14 - Day 2
Rate Limiting & Throttling,RATE_LIMITING,Week 14 - Day 3
Circuit Breakers & Retries,CIRCUIT_BREAKERS,Week 14 - Day 4
Zero Trust Architecture,ZERO_TRUST_ARCHITECTURE,Week 14 - Day 5
Audit Logging & Observability,OBSERVABILITY,Week 14 - Day 6
Service Discovery,SERVICE_DISCOVERY,Week 15 - Day 0
Leader Election,LEADER_ELECTION,Week 15 - Day 1
ID Generation Strategies,ID_GENERATION,Week 15 - Day 2
Job Scheduling & Cron Systems,JOB_SCHEDULING,Week 15 - Day 3
"Metrics, Logging, Tracing",MONITORING_LOGGING_TRACING,Week 15 - Day 4
SLA/SLO/SLI,SLA_SLO_SLI,Week 15 - Day 5
Load Testing Tools,LOAD_TESTING,Week 15 - Day 6
Tradeoff Analysis,TRADEOFF_ANALYSIS,Week 16 - Day 0
Cost Optimization,COST_OPTIMIZATION,Week 16 - Day 1
Infrastructure as Code,INFRASTRUCTURE_AS_CODE,Week 16 - Day 2
Service Mesh,SERVICE_MESH,Week 16 - Day 3
Blue-Green/Canary Deployments,CANARY_DEPLOYMENTS,Week 16 - Day 4
